,No.,Pos.,Player,DoB,Caps,Club,Age,Country,Club_Country,WC_Year
7119,17,MF,Gaëtan Englebert,1976-06-11,4,Club Brugge,25.0,Belgium,Belgium,2002
7120,18,MF,Yves Vanderhaeghe,1970-01-30,30,Anderlecht,32.0,Belgium,Belgium,2002
7121,19,MF,Bernd Thijs,1978-06-28,2,Racing Genk,23.0,Belgium,Belgium,2002
7122,20,FW,Branko Strupar,1970-02-09,14,Derby County,32.0,Belgium,England,2002
7123,21,MF,Danny Boffin,1965-07-10,52,St. Truiden,36.0,Belgium,Belgium,2002
7124,22,FW,Mbo Mpenza,1976-12-04,26,Mouscron,25.0,Belgium,Belgium,2002
7125,23,GK,Frédéric Herpoel,1974-08-16,7,Gent,27.0,Belgium,Belgium,2002
7126,1,GK,Yoshikatsu Kawaguchi,1975-08-15,43,Portsmouth,26.0,Japan,England,2002
7127,2,DF,Yutaka Akita,1970-08-06,38,Kashima Antlers,31.0,Japan,Japan,2002
7128,3,DF,Naoki Matsuda,1977-03-14,24,Yokohama F. Marinos,25.0,Japan,Japan,2002
7129,4,DF,Ryuzo Morioka,1975-10-07,32,Shimizu S-Pulse,26.0,Japan,Japan,2002
7130,5,MF,Junichi Inamoto,1979-09-18,22,Arsenal,22.0,Japan,England,2002
7131,6,DF,Toshihiro Hattori,1973-09-23,35,Jubilo Iwata,28.0,Japan,Japan,2002
7132,7,MF,Hidetoshi Nakata,1977-01-22,39,Parma,25.0,Japan,Italy,2002
7133,8,MF,Hiroaki Morishima,1972-04-30,57,Cerezo Osaka,30.0,Japan,Japan,2002
7134,9,FW,Akinori Nishizawa,1976-06-18,24,Cerezo Osaka,25.0,Japan,Japan,2002
7135,10,FW,Masashi Nakayama (c),1967-09-23,47,Jubilo Iwata,34.0,Japan,Japan,2002
7136,11,FW,Takayuki Suzuki,1976-06-05,10,Kashima Antlers,25.0,Japan,Japan,2002
7137,12,GK,Seigo Narazaki,1976-04-15,15,Nagoya Grampus Eight,26.0,Japan,Japan,2002
7138,13,FW,Atsushi Yanagisawa,1977-05-27,22,Kashima Antlers,25.0,Japan,Japan,2002
7139,14,MF,Alessandro dos Santos,1977-07-20,0,Shimizu S-Pulse,24.0,Japan,Japan,2002
7140,15,MF,Takashi Fukunishi,1976-09-01,5,Jubilo Iwata,25.0,Japan,Japan,2002
7141,16,DF,Kōji Nakata,1979-07-09,20,Kashima Antlers,22.0,Japan,Japan,2002
7142,17,DF,Tsuneyasu Miyamoto,1977-02-07,5,Gamba Osaka,25.0,Japan,Japan,2002
7143,18,MF,Shinji Ono,1979-09-27,21,Feyenoord,22.0,Japan,Netherlands,2002
7144,19,MF,Mitsuo Ogasawara,1979-04-05,0,Kashima Antlers,23.0,Japan,Japan,2002
7145,20,MF,Tomokazu Myojin,1978-01-24,16,Kashiwa Reysol,24.0,Japan,Japan,2002
7146,21,MF,Kazuyuki Toda,1977-12-30,10,Shimizu S-Pulse,24.0,Japan,Japan,2002
7147,22,MF,Daisuke Ichikawa,1980-05-14,1,Shimizu S-Pulse,22.0,Japan,Japan,2002
7148,23,GK,Hitoshi Sogahata,1979-08-02,1,Kashima Antlers,22.0,Japan,Japan,2002
7149,1,GK,Ruslan Nigmatullin,1974-10-07,20,Hellas Verona,27.0,Russia,Italy,2002
7150,2,DF,Yuri Kovtun,1970-01-05,44,Spartak Moscow,32.0,Russia,Russia,2002
7151,3,DF,Yuri Nikiforov,1970-09-16,56,PSV,31.0,Russia,Netherlands,2002
7152,4,MF,Alexey Smertin,1975-05-01,25,Bordeaux,27.0,Russia,France,2002
7153,5,DF,Andrei Solomatin,1975-09-09,5,CSKA Moscow,26.0,Russia,Russia,2002
7154,6,MF,Igor Semshov,1978-04-06,2,Torpedo Moscow,24.0,Russia,Russia,2002
7155,7,DF,Viktor Onopko (c),1969-10-14,97,Real Oviedo,32.0,Russia,Spain,2002
7156,8,MF,Valery Karpin,1969-02-02,69,Celta Vigo,33.0,Russia,Spain,2002
7157,9,MF,Yegor Titov,1976-05-29,30,Spartak Moscow,26.0,Russia,Russia,2002
7158,10,MF,Aleksandr Mostovoi,1968-08-22,59,Celta Vigo,33.0,Russia,Spain,2002
7159,11,FW,Vladimir Beschastnykh,1974-04-01,64,Spartak Moscow,28.0,Russia,Russia,2002
7160,12,GK,Stanislav Cherchesov,1963-09-02,49,Tirol Innsbruck,38.0,Russia,Austria,2002
7161,13,DF,Vyacheslav Dayev,1972-09-06,7,CSKA Moscow,29.0,Russia,Russia,2002
7162,14,DF,Igor Chugainov,1970-04-06,30,Uralan Elista,32.0,Russia,Russia,2002
7163,15,MF,Dmitri Alenichev,1972-10-20,43,Porto,29.0,Russia,Portugal,2002
7164,16,FW,Aleksandr Kerzhakov,1982-11-27,3,Zenit St. Petersburg,19.0,Russia,Russia,2002
7165,17,MF,Sergei Semak,1976-02-27,31,CSKA Moscow,26.0,Russia,Russia,2002
7166,18,DF,Dmitri Sennikov,1976-06-24,4,Lokomotiv Moscow,25.0,Russia,Russia,2002
7167,19,FW,Ruslan Pimenov,1981-11-25,1,Lokomotiv Moscow,20.0,Russia,Russia,2002
7168,20,MF,Marat Izmailov,1982-09-21,8,Lokomotiv Moscow,19.0,Russia,Russia,2002
7169,21,MF,Dmitri Khokhlov,1975-12-22,39,Real Sociedad,26.0,Russia,Spain,2002
7170,22,FW,Dmitri Sychev,1983-10-26,3,Spartak Moscow,18.0,Russia,Russia,2002
7171,23,GK,Aleksandr Filimonov,1973-10-15,16,Uralan Elista,28.0,Russia,Russia,2002
7172,1,GK,Ali Boumnijel,1966-04-13,14,Bastia,36.0,Tunisia,France,2002
7173,2,DF,Khaled Badra (c),1973-04-08,72,Espérance,29.0,Tunisia,Tunisia,2002
7174,3,MF,Zoubeir Baya,1971-05-15,77,Beşiktaş,31.0,Tunisia,Turkey,2002
7175,4,DF,Mohamed Mkacher,1975-05-25,15,ES Sahel,27.0,Tunisia,Tunisia,2002
7176,5,FW,Ziad Jaziri,1978-07-12,26,ES Sahel,23.0,Tunisia,Tunisia,2002
7177,6,DF,Hatem Trabelsi,1977-01-25,27,Ajax,25.0,Tunisia,Netherlands,2002
7178,7,MF,Imed Mhedhebi,1976-03-22,30,Genoa,26.0,Tunisia,Italy,2002
7179,8,MF,Hassen Gabsi,1974-02-23,48,Genoa,28.0,Tunisia,Italy,2002
7180,9,FW,Riadh Jelassi,1971-07-07,20,Club Africain,30.0,Tunisia,Tunisia,2002
7181,10,MF,Kaies Ghodhbane,1976-01-07,62,ES Sahel,26.0,Tunisia,Tunisia,2002
7182,11,FW,Adel Sellimi,1972-11-16,64,SC Freiburg,29.0,Tunisia,Germany,2002
7183,12,DF,Raouf Bouzaiene,1970-08-16,39,Genoa,31.0,Tunisia,Italy,2002
7184,13,MF,Riadh Bouazizi,1973-04-08,47,Bursaspor,29.0,Tunisia,Turkey,2002
7185,14,DF,Hamdi Marzouki,1977-01-23,7,Club Africain,25.0,Tunisia,Tunisia,2002
7186,15,DF,Radhi Jaïdi,1975-08-30,40,Espérance,26.0,Tunisia,Tunisia,2002
7187,16,GK,Hassen Bejaoui,1976-02-14,2,Bizertin,26.0,Tunisia,Tunisia,2002
7188,17,DF,Tarek Thabet,1971-08-16,70,Espérance,30.0,Tunisia,Tunisia,2002
7189,18,MF,Selim Ben Achour,1981-09-08,3,Martigues,20.0,Tunisia,France,2002
7190,19,DF,Emir Mkademi,1978-08-20,9,ES Sahel,23.0,Tunisia,Tunisia,2002
7191,20,FW,Ali Zitouni,1981-01-11,23,Espérance,21.0,Tunisia,Tunisia,2002
7192,21,MF,Mourad Melki,1975-05-09,11,Espérance,27.0,Tunisia,Tunisia,2002
7193,22,GK,Ahmed Jaouachi,1975-07-13,0,Monastir,26.0,Tunisia,Tunisia,2002
7194,23,DF,José Clayton,1974-03-21,12,Espérance,28.0,Tunisia,Tunisia,2002
7195,1,GK,Álvaro Mesén,1972-12-24,38,Herediano,33.0,Costa Rica,Costa Rica,2006
7196,2,DF,Jervis Drummond,1976-09-08,56,Saprissa,29.0,Costa Rica,Costa Rica,2006
7197,3,DF,Luis Marín (c),1974-08-10,120,Alajuelense,31.0,Costa Rica,Costa Rica,2006
7198,4,DF,Michael Umaña,1982-07-16,18,Brujas,23.0,Costa Rica,Costa Rica,2006
7199,5,DF,Gilberto Martínez,1979-10-01,57,Brescia,26.0,Costa Rica,Italy,2006
7200,6,MF,Danny Fonseca,1979-11-07,22,Cartaginés,26.0,Costa Rica,Costa Rica,2006
7201,7,MF,Christian Bolaños,1984-05-17,16,Saprissa,22.0,Costa Rica,Costa Rica,2006
7202,8,MF,Mauricio Solís,1972-12-13,107,CSD Comunicaciones,33.0,Costa Rica,Guatemala,2006
7203,9,FW,Paulo Wanchope,1976-07-31,69,Herediano,29.0,Costa Rica,Costa Rica,2006
7204,10,MF,Walter Centeno,1974-10-06,93,Saprissa,31.0,Costa Rica,Costa Rica,2006
7205,11,FW,Rónald Gómez,1975-01-24,80,Saprissa,31.0,Costa Rica,Costa Rica,2006
7206,12,DF,Leonardo González,1980-11-21,36,Herediano,25.0,Costa Rica,Costa Rica,2006
7207,13,FW,Kurt Bernard,1977-08-08,3,Puntarenas,28.0,Costa Rica,Costa Rica,2006
7208,14,MF,Randall Azofeifa,1984-12-30,5,Saprissa,21.0,Costa Rica,Costa Rica,2006
7209,15,DF,Harold Wallace,1975-09-07,78,Alajuelense,30.0,Costa Rica,Costa Rica,2006
7210,16,MF,Carlos Hernández,1982-04-09,17,Alajuelense,24.0,Costa Rica,Costa Rica,2006
7211,17,DF,Gabriel Badilla,1984-06-30,7,Saprissa,21.0,Costa Rica,Costa Rica,2006
7212,18,GK,José Porras,1970-11-08,16,Saprissa,35.0,Costa Rica,Costa Rica,2006
7213,19,FW,Álvaro Saborío,1982-03-25,23,Saprissa,24.0,Costa Rica,Costa Rica,2006
7214,20,MF,Douglas Sequeira,1977-08-23,29,Real Salt Lake,28.0,Costa Rica,United States,2006
7215,21,FW,Victor Núñez,1980-04-15,3,Cartaginés,26.0,Costa Rica,Costa Rica,2006
7216,22,DF,Michael Rodríguez,1981-12-30,3,Alajuelense,24.0,Costa Rica,Costa Rica,2006
7217,23,GK,Wardy Alfaro,1977-12-31,2,Alajuelense,28.0,Costa Rica,Costa Rica,2006
7218,1,GK,Edwin Villafuerte,1979-03-12,15,Deportivo Quito,27.0,Ecuador,Ecuador,2006
7219,2,DF,Jorge Guagua,1981-09-28,18,El Nacional,24.0,Ecuador,Ecuador,2006
7220,3,DF,Iván Hurtado (c),1974-08-16,130,Al-Arabi,31.0,Ecuador,Qatar,2006
7221,4,DF,Ulises de la Cruz,1974-02-08,84,Aston Villa,32.0,Ecuador,England,2006
7222,5,DF,José Luis Perlaza,1981-10-06,3,Olmedo,24.0,Ecuador,Ecuador,2006
7223,6,MF,Patricio Urrutia,1978-10-15,6,LDU Quito,27.0,Ecuador,Ecuador,2006
7224,7,MF,Christian Lara,1980-04-27,19,El Nacional,26.0,Ecuador,Ecuador,2006
7225,8,MF,Edison Méndez,1979-03-16,64,LDU Quito,27.0,Ecuador,Ecuador,2006
7226,9,FW,Félix Borja,1983-04-02,6,El Nacional,23.0,Ecuador,Ecuador,2006
7227,10,FW,Iván Kaviedes,1977-10-24,44,Argentinos Juniors,28.0,Ecuador,Argentina,2006
7228,11,FW,Agustín Delgado,1974-12-23,68,LDU Quito,31.0,Ecuador,Ecuador,2006
7229,12,GK,Cristian Mora,1979-08-26,8,LDU Quito,26.0,Ecuador,Ecuador,2006
7230,13,DF,Paul Ambrosi,1980-10-14,24,LDU Quito,25.0,Ecuador,Ecuador,2006
7231,14,MF,Segundo Castillo,1982-05-15,11,El Nacional,24.0,Ecuador,Ecuador,2006
7232,15,MF,Marlon Ayoví,1971-09-27,74,Deportivo Quito,34.0,Ecuador,Ecuador,2006
7233,16,MF,Antonio Valencia,1985-08-04,17,Recreativo,20.0,Ecuador,Spain,2006
7234,17,DF,Giovanny Espinoza,1977-04-12,56,LDU Quito,29.0,Ecuador,Ecuador,2006
7235,18,DF,Néicer Reasco,1977-07-23,31,LDU Quito,28.0,Ecuador,Ecuador,2006
7236,19,MF,Luis Saritama,1983-10-20,15,Deportivo Quito,22.0,Ecuador,Ecuador,2006
7237,20,MF,Edwin Tenorio,1976-06-16,68,Barcelona,29.0,Ecuador,Ecuador,2006
7238,21,FW,Carlos Tenorio,1979-05-14,29,Al-Sadd,27.0,Ecuador,Qatar,2006
7239,22,GK,Damián Lanza,1982-04-10,5,Aucas,24.0,Ecuador,Ecuador,2006
7240,23,FW,Christian Benítez,1986-05-01,5,El Nacional,20.0,Ecuador,Ecuador,2006
7241,1,GK,Jens Lehmann,1969-11-10,32,Arsenal,36.0,Germany,England,2006
7242,2,DF,Marcell Jansen,1985-11-04,7,Borussia Mönchengladbach,20.0,Germany,Germany,2006
7243,3,DF,Arne Friedrich,1979-05-29,36,Hertha BSC,27.0,Germany,Germany,2006
7244,4,DF,Robert Huth,1984-08-18,16,Chelsea,21.0,Germany,England,2006
7245,5,MF,Sebastian Kehl,1980-02-13,27,Borussia Dortmund,26.0,Germany,Germany,2006
7246,6,DF,Jens Nowotny,1974-01-11,46,Bayer Leverkusen,32.0,Germany,Germany,2006
7247,7,MF,Bastian Schweinsteiger,1984-08-01,28,Bayern Munich,21.0,Germany,Germany,2006
7248,8,MF,Torsten Frings,1976-11-22,52,Werder Bremen,29.0,Germany,Germany,2006
7249,9,FW,Mike Hanke,1983-11-05,6,VfL Wolfsburg,22.0,Germany,Germany,2006
7250,10,FW,Oliver Neuville,1973-05-01,55,Borussia Mönchengladbach,33.0,Germany,Germany,2006
7251,11,FW,Miroslav Klose,1978-06-09,55,Werder Bremen,28.0,Germany,Germany,2006
7252,12,GK,Oliver Kahn,1969-06-15,85,Bayern Munich,36.0,Germany,Germany,2006
7253,13,MF,Michael Ballack (c),1976-09-26,65,Bayern Munich,29.0,Germany,Germany,2006
7254,14,FW,Gerald Asamoah,1978-10-03,40,Schalke 04,27.0,Germany,Germany,2006
7255,15,MF,Thomas Hitzlsperger,1982-04-05,15,VfB Stuttgart,24.0,Germany,Germany,2006
7256,16,DF,Philipp Lahm,1983-11-11,18,Bayern Munich,22.0,Germany,Germany,2006
7257,17,DF,Per Mertesacker,1984-09-29,23,Hannover 96,21.0,Germany,Germany,2006
7258,18,MF,Tim Borowski,1980-05-02,20,Werder Bremen,26.0,Germany,Germany,2006
7259,19,MF,Bernd Schneider,1973-11-17,64,Bayer Leverkusen,32.0,Germany,Germany,2006
7260,20,FW,Lukas Podolski,1985-06-04,25,1. FC Köln,21.0,Germany,Germany,2006
7261,21,DF,Christoph Metzelder,1980-11-05,22,Borussia Dortmund,25.0,Germany,Germany,2006
7262,22,MF,David Odonkor,1984-02-21,1,Borussia Dortmund,22.0,Germany,Germany,2006
7263,23,GK,Timo Hildebrand,1979-04-05,3,VfB Stuttgart,27.0,Germany,Germany,2006
7264,1,GK,Artur Boruc,1980-02-20,17,Celtic,26.0,Poland,Scotland,2006
7265,2,DF,Mariusz Jop,1978-08-03,12,FC Moscow,27.0,Poland,Russia,2006
7266,3,DF,Seweryn Gancarczyk,1981-11-22,2,Metalist Kharkiv,24.0,Poland,Ukraine,2006
7267,4,DF,Marcin Baszczyński,1977-06-07,32,Wisła Kraków,29.0,Poland,Poland,2006
7268,5,MF,Kamil Kosowski,1977-08-30,45,1. FC Kaiserslautern,28.0,Poland,Germany,2006
7269,6,DF,Jacek Bąk (c),1973-03-24,72,Al-Rayyan,33.0,Poland,Qatar,2006
7270,7,MF,Radosław Sobolewski,1976-12-13,19,Wisła Kraków,29.0,Poland,Poland,2006
7271,8,MF,Jacek Krzynówek,1976-05-15,58,Bayer Leverkusen,30.0,Poland,Germany,2006
7272,9,FW,Maciej Żurawski,1976-09-12,50,Celtic,29.0,Poland,Scotland,2006
7273,10,MF,Mirosław Szymkowiak,1976-11-12,29,Trabzonspor,29.0,Poland,Turkey,2006
7274,11,FW,Grzegorz Rasiak,1979-01-12,30,Tottenham Hotspur,27.0,Poland,England,2006
7275,12,GK,Tomasz Kuszczak,1982-03-23,4,West Bromwich Albion,24.0,Poland,England,2006
7276,13,MF,Sebastian Mila,1982-07-10,27,Austria Wien,23.0,Poland,Austria,2006
7277,14,DF,Michał Żewłakow,1976-04-22,56,Anderlecht,30.0,Poland,Belgium,2006
7278,15,FW,Euzebiusz Smolarek,1981-01-09,13,Borussia Dortmund,25.0,Poland,Germany,2006
7279,16,MF,Arkadiusz Radomski,1977-06-27,20,Austria Vienna,28.0,Poland,Austria,2006
7280,17,MF,Dariusz Dudka,1983-12-09,7,Wisła Kraków,22.0,Poland,Poland,2006
7281,18,DF,Mariusz Lewandowski,1979-05-18,25,Shakhtar Donetsk,27.0,Poland,Ukraine,2006
7282,19,DF,Bartosz Bosacki,1975-12-20,11,Lech Poznań,30.0,Poland,Poland,2006
7283,20,MF,Piotr Giza,1980-02-28,4,Cracovia,26.0,Poland,Poland,2006
7284,21,FW,Ireneusz Jeleń,1981-04-09,9,Wisła Płock,25.0,Poland,Poland,2006
7285,22,GK,Łukasz Fabiański,1985-04-18,2,Legia Warszawa,21.0,Poland,Poland,2006
7286,23,FW,Paweł Brożek,1983-04-21,4,Wisła Kraków,23.0,Poland,Poland,2006
7287,1,GK,Paul Robinson,1979-10-15,21,Tottenham Hotspur,26.0,England,England,2006
7288,2,DF,Gary Neville,1975-02-18,79,Manchester United,31.0,England,England,2006
7289,3,DF,Ashley Cole,1980-12-20,46,Arsenal,25.0,England,England,2006
7290,4,MF,Steven Gerrard,1980-05-30,42,Liverpool,26.0,England,England,2006
7291,5,DF,Rio Ferdinand,1978-11-07,47,Manchester United,27.0,England,England,2006
7292,6,DF,John Terry,1980-12-07,24,Chelsea,25.0,England,England,2006
7293,7,MF,David Beckham (c),1975-05-02,89,Real Madrid,31.0,England,Spain,2006
7294,8,MF,Frank Lampard,1978-06-20,40,Chelsea,27.0,England,England,2006
7295,9,FW,Wayne Rooney,1985-10-24,29,Manchester United,20.0,England,England,2006
7296,10,FW,Michael Owen,1979-12-14,77,Newcastle United,26.0,England,England,2006
7297,11,MF,Joe Cole,1981-11-08,32,Chelsea,24.0,England,England,2006
7298,12,DF,Sol Campbell,1974-09-18,68,Arsenal,31.0,England,England,2006
7299,13,GK,David James,1970-08-01,34,Manchester City,35.0,England,England,2006
7300,14,DF,Wayne Bridge,1980-08-05,23,Chelsea,25.0,England,England,2006
7301,15,DF,Jamie Carragher,1978-01-28,25,Liverpool,28.0,England,England,2006
7302,16,MF,Owen Hargreaves,1981-01-20,30,Bayern Munich,25.0,England,Germany,2006
7303,17,MF,Jermaine Jenas,1983-02-18,15,Tottenham Hotspur,23.0,England,England,2006
7304,18,MF,Michael Carrick,1981-07-28,6,Tottenham Hotspur,24.0,England,England,2006
7305,19,MF,Aaron Lennon,1987-04-16,1,Tottenham Hotspur,19.0,England,England,2006
7306,20,MF,Stewart Downing,1984-07-22,2,Middlesbrough,21.0,England,England,2006
7307,21,FW,Peter Crouch,1981-01-30,7,Liverpool,25.0,England,England,2006
7308,22,GK,Scott Carson,1985-09-03,0,Liverpool,20.0,England,England,2006
7309,23,FW,Theo Walcott,1989-03-16,1,Arsenal,17.0,England,England,2006
7310,1,GK,Justo Villar,1977-06-30,39,Newell's Old Boys,28.0,Paraguay,Argentina,2006
7311,2,DF,Jorge Núñez,1978-01-22,15,Estudiantes de La Plata,28.0,Paraguay,Argentina,2006
7312,3,DF,Delio Toledo,1976-10-02,30,Real Zaragoza,29.0,Paraguay,Spain,2006
7313,4,DF,Carlos Gamarra (c),1971-02-17,106,Palmeiras,35.0,Paraguay,Brazil,2006
7314,5,DF,Julio César Cáceres,1979-10-05,32,River Plate,26.0,Paraguay,Argentina,2006
7315,6,MF,Carlos Bonet,1977-10-02,29,Libertad,28.0,Paraguay,Paraguay,2006
7316,7,FW,Salvador Cabañas,1980-08-05,15,Jaguares,25.0,Paraguay,Mexico,2006
7317,8,MF,Edgar Barreto,1984-07-15,15,NEC,21.0,Paraguay,Netherlands,2006
7318,9,FW,Roque Santa Cruz,1981-08-16,42,Bayern Munich,24.0,Paraguay,Germany,2006
7319,10,MF,Roberto Acuña,1972-03-25,93,Deportivo La Coruña,34.0,Paraguay,Spain,2006
7320,11,MF,Diego Gavilán,1980-03-01,39,Newell's Old Boys,26.0,Paraguay,Argentina,2006
7321,12,GK,Derlis Gómez,1972-11-02,5,Sportivo Luqueño,33.0,Paraguay,Paraguay,2006
7322,13,MF,Carlos Paredes,1976-07-16,68,Reggina,29.0,Paraguay,Italy,2006
7323,14,DF,Paulo da Silva,1980-02-01,33,Toluca,26.0,Paraguay,Mexico,2006
7324,15,DF,Julio César Manzur,1981-06-22,13,Santos,24.0,Paraguay,Brazil,2006
7325,16,MF,Cristian Riveros,1982-10-16,9,Libertad,23.0,Paraguay,Paraguay,2006
7326,17,MF,José Montiel,1988-03-19,6,Olimpia,18.0,Paraguay,Paraguay,2006
7327,18,FW,Nelson Valdez,1983-11-28,11,Werder Bremen,22.0,Paraguay,Germany,2006
7328,19,MF,Julio dos Santos,1983-05-07,17,Bayern Munich,23.0,Paraguay,Germany,2006
7329,20,FW,Dante López,1983-08-16,7,Genoa,22.0,Paraguay,Italy,2006
7330,21,DF,Denis Caniza,1974-08-29,74,Cruz Azul,31.0,Paraguay,Mexico,2006
7331,22,GK,Aldo Bobadilla,1976-04-20,5,Libertad,30.0,Paraguay,Paraguay,2006
7332,23,FW,Nelson Cuevas,1980-01-10,35,Pachuca,26.0,Paraguay,Mexico,2006
7333,1,GK,Andreas Isaksson,1981-10-03,39,Rennes,24.0,Sweden,France,2006
7334,2,DF,Mikael Nilsson,1978-06-24,27,Panathinaikos,27.0,Sweden,Greece,2006
7335,3,DF,Olof Mellberg (c),1977-09-03,64,Aston Villa,28.0,Sweden,England,2006
7336,4,DF,Teddy Lucic,1973-04-15,81,Häcken,33.0,Sweden,Sweden,2006
7337,5,DF,Erik Edman,1978-11-11,37,Rennes,27.0,Sweden,France,2006
7338,6,MF,Tobias Linderoth,1979-04-21,58,Copenhagen,27.0,Sweden,Denmark,2006
7339,7,MF,Niclas Alexandersson,1971-12-29,87,Göteborg,34.0,Sweden,Sweden,2006
7340,8,MF,Anders Svensson,1976-07-17,66,Elfsborg,29.0,Sweden,Sweden,2006
7341,9,MF,Fredrik Ljungberg,1977-04-16,57,Arsenal,29.0,Sweden,England,2006
7342,10,FW,Zlatan Ibrahimović,1981-10-03,38,Juventus,24.0,Sweden,Italy,2006
7343,11,FW,Henrik Larsson,1971-09-20,89,Barcelona,34.0,Sweden,Spain,2006
7344,12,GK,John Alvbåge,1982-08-10,2,Viborg,23.0,Sweden,Denmark,2006
7345,13,DF,Petter Hansson,1976-12-14,13,Heerenveen,29.0,Sweden,Netherlands,2006
7346,14,DF,Fredrik Stenman,1983-06-02,1,Bayer Leverkusen,23.0,Sweden,Germany,2006
7347,15,DF,Karl Svensson,1984-03-21,1,Göteborg,22.0,Sweden,Sweden,2006
7348,16,MF,Kim Källström,1982-08-24,34,Rennes,23.0,Sweden,France,2006
7349,17,FW,Johan Elmander,1981-05-27,18,Brøndby,25.0,Sweden,Denmark,2006
7350,18,MF,Mattias Jonson,1974-01-16,53,Djurgården,32.0,Sweden,Sweden,2006
7351,19,MF,Daniel Andersson,1977-08-28,47,Malmö,28.0,Sweden,Sweden,2006
7352,20,FW,Marcus Allbäck,1973-07-05,56,Copenhagen,32.0,Sweden,Denmark,2006
7353,21,MF,Christian Wilhelmsson,1979-12-08,29,Anderlecht,26.0,Sweden,Belgium,2006
7354,22,FW,Markus Rosenberg,1982-09-27,8,Ajax,23.0,Sweden,Netherlands,2006
7355,23,GK,Rami Shaaban,1975-06-30,1,Fredrikstad,30.0,Sweden,Norway,2006
7356,1,GK,Shaka Hislop,1969-02-22,24,West Ham United,37.0,Trinidad and Tobago,England,2006
7357,2,DF,Ian Cox,1971-03-25,16,Gillingham,35.0,Trinidad and Tobago,England,2006
7358,3,DF,Avery John,1975-06-18,57,New England Revolution,30.0,Trinidad and Tobago,United States,2006
7359,4,DF,Marvin Andrews,1975-12-22,98,Rangers,30.0,Trinidad and Tobago,Scotland,2006
7360,5,DF,Brent Sancho,1977-03-13,40,Gillingham,29.0,Trinidad and Tobago,England,2006
7361,6,DF,Dennis Lawrence,1974-08-01,63,Wrexham,31.0,Trinidad and Tobago,Wales,2006
7362,7,MF,Chris Birchall,1984-05-05,19,Port Vale,22.0,Trinidad and Tobago,England,2006
7363,8,DF,Cyd Gray,1973-11-21,39,San Juan Jabloteh,32.0,Trinidad and Tobago,Trinidad and Tobago,2006
7364,9,MF,Aurtis Whitley,1977-05-01,24,San Juan Jabloteh,29.0,Trinidad and Tobago,Trinidad and Tobago,2006
7365,10,MF,Russell Latapy,1968-08-02,66,Falkirk,37.0,Trinidad and Tobago,Scotland,2006
7366,11,MF,Carlos Edwards,1978-10-24,51,Luton Town,27.0,Trinidad and Tobago,England,2006
7367,12,FW,Collin Samuel,1981-08-27,18,Dundee United,24.0,Trinidad and Tobago,Scotland,2006
7368,13,FW,Cornell Glen,1980-10-21,35,LA Galaxy,25.0,Trinidad and Tobago,United States,2006
7369,14,FW,Stern John,1976-10-30,95,Coventry City,29.0,Trinidad and Tobago,England,2006
7370,15,FW,Kenwyne Jones,1984-10-05,29,Southampton,21.0,Trinidad and Tobago,England,2006
7371,16,MF,Evans Wise,1973-11-23,16,Waldhof Mannheim,32.0,Trinidad and Tobago,Germany,2006
7372,17,DF,David Atiba Charles,1977-08-29,19,W Connection,28.0,Trinidad and Tobago,Trinidad and Tobago,2006
7373,18,MF,Densill Theobald,1982-06-27,38,Falkirk,23.0,Trinidad and Tobago,Scotland,2006
7374,19,FW,Dwight Yorke (c),1971-11-03,54,Sydney FC,34.0,Trinidad and Tobago,Australia,2006
7375,20,FW,Jason Scotland,1979-02-18,25,St. Johnstone,27.0,Trinidad and Tobago,Scotland,2006
7376,21,GK,Kelvin Jack,1976-04-29,32,Dundee,30.0,Trinidad and Tobago,Scotland,2006
7377,22,GK,Clayton Ince,1972-07-12,63,Coventry City,33.0,Trinidad and Tobago,England,2006
7378,23,MF,Anthony Wolfe,1983-12-23,4,San Juan Jabloteh,22.0,Trinidad and Tobago,Trinidad and Tobago,2006
7379,1,GK,Roberto Abbondanzieri,1972-08-19,22,Boca Juniors,33.0,Argentina,Argentina,2006
7380,2,DF,Roberto Ayala,1973-04-14,100,Valencia,33.0,Argentina,Spain,2006
7381,3,DF,Juan Pablo Sorín (c),1976-05-05,71,Villarreal,30.0,Argentina,Spain,2006
7382,4,DF,Fabricio Coloccini,1982-01-22,23,Deportivo La Coruña,24.0,Argentina,Spain,2006
7383,5,MF,Esteban Cambiasso,1980-08-18,22,Internazionale,25.0,Argentina,Italy,2006
7384,6,DF,Gabriel Heinze,1978-04-19,29,Manchester United,28.0,Argentina,England,2006
7385,7,FW,Javier Saviola,1981-12-11,31,Barcelona,24.0,Argentina,Spain,2006
7386,8,MF,Javier Mascherano,1984-06-08,15,Corinthians,22.0,Argentina,Brazil,2006
7387,9,FW,Hernán Crespo,1975-07-05,55,Chelsea,30.0,Argentina,England,2006
7388,10,MF,Juan Román Riquelme,1978-06-24,31,Villarreal,27.0,Argentina,Spain,2006
7389,11,FW,Carlos Tevez,1984-02-05,21,Corinthians,22.0,Argentina,Brazil,2006
7390,12,GK,Leo Franco,1977-05-29,3,Atlético Madrid,29.0,Argentina,Spain,2006
7391,13,DF,Lionel Scaloni,1978-05-16,6,Deportivo La Coruña,28.0,Argentina,Spain,2006
7392,14,FW,Rodrigo Palacio,1982-02-05,2,Boca Juniors,24.0,Argentina,Argentina,2006
